"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
153,0,0,0,0,0,0,0,0,0,0,"2019-10-23 15:55:56",241
154,1,1,0,0,0,0,0,0,0,0,"2019-10-23 15:56:28",241
155,1,1,1,0,0,0,0,0,0,0,"2019-10-23 21:03:46",354
156,0,0,0,0,0,0,0,0,0,0,"2019-10-24 03:23:47",454
157,0,1,0,1,0,1,0,0,0,0,"2019-10-24 03:24:32",454
158,0,1,0,1,0,1,0,0,0,0,"2019-10-24 03:25:43",454
159,0,1,0,1,0,1,0,0,0,0,"2019-10-24 03:26:18",454
160,0,1,0,1,0,1,0,0,0,0,"2019-10-24 03:26:55",454
161,0,0,0,0,0,0,0,1,1,0,"2019-10-24 04:31:57",938
162,0,0,0,1,0,0,0,0,1,0,"2019-10-24 07:25:28",264
163,0,0,0,0,0,0,0,0,0,0,"2019-10-24 07:54:34",314
164,0,0,0,0,0,0,0,0,0,0,"2019-10-24 10:38:33",134
165,1,0,0,0,0,0,0,0,1,0,"2019-10-24 11:18:39",331
166,0,0,0,0,0,0,0,0,0,0,"2019-10-24 12:42:06",324
167,0,0,0,0,0,0,0,0,0,0,"2019-10-24 12:42:10",324
168,0,0,0,0,0,0,0,0,0,0,"2019-10-24 12:56:23",324
169,0,0,0,0,0,0,0,0,0,0,"2019-10-24 13:10:54",354
170,0,0,1,0,0,0,0,0,0,0,"2019-10-24 13:10:57",354
171,0,0,0,1,0,0,0,0,0,0,"2019-10-24 15:52:50",354
172,0,0,0,1,0,0,0,0,0,0,"2019-10-24 16:01:05",354
173,0,0,0,0,0,0,0,0,1,0,"2019-10-24 16:36:01",72
174,0,0,0,0,0,0,0,0,1,0,"2019-10-24 16:36:02",72
175,0,0,0,0,0,0,0,0,0,0,"2019-10-24 19:42:14",178
176,0,0,0,0,0,1,0,0,0,0,"2019-10-24 19:45:17",354
177,0,0,0,0,0,0,0,0,0,0,"2019-10-24 19:49:29",354
178,0,0,0,1,0,0,0,0,0,0,"2019-10-24 19:49:32",354
179,0,0,0,0,0,0,0,0,0,0,"2019-10-24 19:54:01",354
180,1,0,1,0,0,0,0,0,0,0,"2019-10-24 19:54:06",354
181,0,0,0,0,0,1,0,0,0,0,"2019-10-24 19:59:48",354
182,0,0,1,0,0,1,0,0,0,0,"2019-10-24 20:02:03",354
183,0,0,0,0,0,0,0,0,1,1,"2019-10-25 08:23:04",310
184,1,1,0,0,0,0,0,0,0,0,"2019-10-25 08:37:52",241
185,1,1,0,0,0,0,0,0,0,1,"2019-10-25 08:39:34",334
186,0,0,0,0,0,0,0,0,0,1,"2019-10-25 08:45:56",334
187,0,0,0,0,0,0,0,0,0,1,"2019-10-25 08:46:32",334
188,1,0,0,0,0,0,0,0,1,1,"2019-10-25 10:09:41",864
189,1,0,0,0,0,0,0,0,1,1,"2019-10-25 10:09:44",864
190,1,1,0,1,0,0,0,0,0,0,"2019-10-25 10:16:03",268
191,0,0,0,0,0,0,0,0,0,0,"2019-10-25 10:25:47",383
192,1,1,1,0,0,0,0,0,0,0,"2019-10-25 10:29:36",383
193,0,0,1,0,0,0,0,0,0,0,"2019-10-25 11:58:31",354
194,0,0,0,0,0,0,0,0,1,0,"2019-10-25 12:35:25",346
195,0,0,0,0,0,0,0,0,1,0,"2019-10-25 12:41:22",346
196,1,1,0,1,0,0,0,0,0,0,"2019-10-25 13:31:04",268
197,0,1,0,1,0,1,0,0,0,0,"2019-10-25 14:17:30",454
198,1,0,0,0,0,0,0,0,1,0,"2019-10-25 14:34:31",914
199,1,0,0,0,0,0,0,0,0,0,"2019-10-25 15:42:44",880
200,0,0,1,0,0,0,0,1,1,0,"2019-10-25 17:36:38",134
201,0,0,0,0,0,0,0,0,0,0,"2019-10-25 17:37:31",134
202,0,0,0,0,0,0,0,0,0,0,"2019-10-25 17:37:56",134
203,1,0,0,0,0,0,0,0,0,0,"2019-10-25 18:32:05",383
204,1,1,1,0,0,0,0,0,0,0,"2019-10-25 18:32:57",383
205,1,1,0,0,0,1,0,0,0,0,"2019-10-25 18:53:37",780
206,0,0,1,0,0,0,0,0,0,0,"2019-10-25 19:18:16",560
207,1,0,1,0,0,0,0,0,0,0,"2019-10-25 19:18:22",560
208,1,1,1,0,0,0,0,0,0,0,"2019-10-25 19:18:25",560
209,1,1,1,0,0,0,0,0,0,0,"2019-10-25 19:18:30",560
210,0,1,0,0,0,0,0,0,0,0,"2019-10-25 19:19:56",560
211,1,1,1,0,0,0,0,0,0,0,"2019-10-25 19:20:34",560
212,1,1,1,0,0,0,0,0,0,0,"2019-10-25 19:22:34",560
213,0,0,0,0,0,0,0,0,0,0,"2019-10-25 19:23:12",560
214,1,1,0,0,0,0,0,0,0,0,"2019-10-25 19:25:13",560
215,1,1,0,1,0,0,0,0,0,0,"2019-10-25 19:54:44",191
216,0,0,0,1,0,0,0,0,1,0,"2019-10-25 19:57:40",22
217,1,1,0,0,0,1,0,0,0,0,"2019-10-25 23:34:46",780
218,0,0,0,0,0,0,0,1,1,1,"2019-10-26 00:57:45",938
219,0,0,1,0,0,0,0,0,1,1,"2019-10-26 06:08:36",869
220,0,0,0,1,0,0,0,0,1,0,"2019-10-26 06:54:27",880
221,0,0,0,0,0,0,0,0,0,1,"2019-10-26 09:18:53",693
222,0,0,0,0,0,0,0,0,0,0,"2019-10-26 10:27:41",454
223,1,0,0,0,0,0,0,0,0,0,"2019-10-26 10:48:02",383
224,0,0,0,0,0,0,0,0,1,0,"2019-10-26 10:51:54",383
225,0,0,0,1,0,0,0,1,0,1,"2019-10-26 12:30:12",368
226,0,1,0,0,0,0,0,0,0,0,"2019-10-26 13:15:20",291
227,0,0,0,0,0,0,0,1,0,0,"2019-10-26 13:15:36",291
228,1,1,0,1,0,0,0,0,0,0,"2019-10-26 18:52:30",780
